index_name;items
inteligência_emocional;introdução edição comemorativa de 10º aniversário em 1990, quando era repórter de ciência no the new york times, topei com um artigo em uma pequena revista acadêmica escrito por dois psicólogos, john mayer, hoje na universidade de new hampshire, e peter salovey, de yale. meyer e salovey apresentaram a primeira formulação de um conceito que chamaram de “inteligência emocional”.
inteligência_emocional;"naquela época, a proeminência do qi como critério de excelência na vida era inquestionável; discutia-se acaloradamente se ele estava inscrito em nossos genes ou se era alcançado pela experiência. porém, eis que surge, de repente, uma nova forma de pensar sobre os ingredientes do sucesso na vida. fiquei entusiasmado com o conceito, que usei como título deste livro em 1995. como mayer e salovey, utilizei a expressão para sintetizar uma ampla gama de descobertas científicas, unindo ramos diferentes de pesquisa — analisando não só a teoria deles, mas também uma grande variedade de outros avanços científicos empolgantes, como os primeiros frutos do campo incipiente da neurociência afetiva, que explora como as emoções são reguladas pelo cérebro."
inteligência_emocional;lembro-me de ter pensado, logo antes deste livro ser publicado, dez anos atrás, que se um dia eu ouvisse uma conversa em que dois estranhos usassem o termo inteligência emocional e ambos entendessem o que isso significava, eu teria conseguido disseminar o termo de forma mais ampla na cultura. mal podia imaginar.
inteligência_emocional;"a expressão inteligência emocional, ou sua abreviação qe, se tornou onipresente, aparecendo em lugares tão improváveis quanto nas tirinhas dilbert e zippy the pinhead e na arte seqüencial de roz chast na the new yorker. já vi caixas de brinquedos que dizem aumentar o qe das crianças; pessoas buscando parceiros às vezes alardeiam a expressão em anúncios pessoais. uma vez, eu encontrei uma piadinha sobre qe no rótulo de um xampu no meu quarto de hotel."
inteligência_emocional;"africano, um especialista em gerenciamento do sultanato de omã, um executivo em xangai. estudantes de negócios na índia lêem sobre qe e liderança; um ceo na argentina recomenda o livro que escrevi posteriormente sobre este tópico. eruditos religiosos dentro do cristianismo, judaísmo, islamismo, hinduísmo e budismo me disseram que o conceito de qe encontra ressonância em suas próprias crenças."
inteligência_emocional;mais gratificante para mim foi a maneira como o conceito foi ardentemente abraçado pelos educadores, na forma de programas de “aprendizado social e emocional”, ou sel (social and emotional learning). nos idos de 1995, havia apenas um punhado desses programas ensinando habilidades de inteligência emocional a crianças. agora, uma década depois, dezenas de milhares de escolas em todo o mundo oferecem sel às crianças. hoje em dia, nos estados unidos, o sel é requisito curricular em vários distritos, e até mesmo em estados inteiros, exigindo que os alunos, da mesma forma que precisam alcançar um determinado nível de competência em matemática e linguagem, dominem essas fundamentais aptidões para a vida.
inteligência_emocional;"em illinois, por exemplo, modelos específicos de aprendizagem em habilidades de sel vêm sendo estabelecidos em todas as séries, desde o jardim-de-infância até o último ano do ensino médio. tomando apenas um exemplo de um currículo notavelmente detalhado e abrangente, nos primeiros anos do ensino fundamental, os alunos devem aprender a reconhecer e classificar com precisão seus sentimentos e como eles os levam a agir. nas séries do segundo ciclo fundamental, as atividades de empatia devem tornar a criança capaz de identificar as pistas não-verbais de como outra pessoa se sente; nos últimos ciclos do fundamental, elas devem ser capazes de analisar o que gera estresse nelas ou o que as motiva a ter desempenhos melhores. e no ensino médio, as habilidades sel incluem ouvir e falar de modo a solucionar conflitos em vez de agravá-los e negociar saídas em que todos ganhem."
inteligência_emocional;em alguns estados norte-americanos e outros países, o sel se tornou o guarda-chuva organizador sob o qual se juntam programas de educação do caráter, de prevenção à violência, agressão contra colegas e drogas e de disciplina escolar. o objetivo não é apenas reduzir a incidência desses problemas entre alunos, mas também melhorar o ambiente escolar e, em última instância, o desempenho acadêmico dos estudantes.
inteligência_emocional;em 1995, esbocei as evidências preliminares que sugeriam que o sel era um ingrediente ativo nos programas que aperfeiçoam a aprendizagem da criança evitando problemas como a violência. agora é possível afirmar cientificamente: ajudar as crianças a aperfeiçoar sua autoconsciência e confiança, controlar suas emoções e impulsos perturbadores e aumentar sua empatia resulta não só em um melhor comportamento, mas também em uma melhoria considerável no desempenho acadêmico.
inteligência_emocional;esta é a grande notícia contida em uma metanálise de 668 estudos avaliativos de programas de sel para crianças desde a pré-escola até o ensino médio.1 a maciça pesquisa foi conduzida por ross weissberg, que dirige a cooperativa de aprendizado acadêmico, social e emocional (casel, na sigla em inglês) na universidade de illinois, em chicago — a organização que encabeça o esforço de levar o sel às escolas de todo o mundo.
